"Name of Hospital"	"Hospital Id"	Mobile	Email	"Hospital Type"	Address	District	hospital
"CHC CHERUVADI",HOSP11CHC001,4952208150,cheruvadichc@gmail.com,CHC,"Cheruvadi PO, Mavoor Via-673661",KOZHIKODE,6440d353bc3a1cbc36097180
"CHC CHERUVANNUR",HOSP11CHC002,4952487090,chccheruvannur@gmail.com,CHC,"Kolathara (po), Kundayithode Pin. 673655 ",KOZHIKODE,6440d353bc3a1cbc36097181
"CHC KODENCHERY",HOSP11CHC003,4952937960,chckodanchery@gmail.com,CHC,"Kodanchery Post, Kozhikode 673580",KOZHIKODE,6440d353bc3a1cbc36097182
"CHC KODUVALLY",HOSP11CHC004,4952964594,chckoduvally@gmail.com,CHC,"KODUVALLY P.O,KOZHIKODE",KOZHIKODE,6440d353bc3a1cbc36097183
"CHC KOORACHUNDU",HOSP11CHC005,4962661939,phckoorachundu@gmail.com,CHC,"Koorachund Po 673527",KOZHIKODE,6440d353bc3a1cbc36097184
"CHC KUNNUMMAL",HOSP11CHC006,4962937299,"chckunnummal@gmail.com ",CHC,"Kakkattil (po) Kozhikode ",KOZHIKODE,6440d353bc3a1cbc36097185
"CHC MELADY",HOSP11CHC007,4962602170,mochcmelady@gmail.com,CHC,"Thikkodi (po),Kozhikode, 673529 Pin",KOZHIKODE,6440d353bc3a1cbc36097186
"CHC MUKKAM",HOSP11CHC008,4952297260,chcmukkam2@gmail.com,CHC,"Mukkam (P.O) KOZHIKODE ",KOZHIKODE,6440d353bc3a1cbc36097187
"CHC NARIKUNI",HOSP11CHC009,,chcnarikkuni@gmail.com,CHC,"Narikkuni P. O, Kozhikode",KOZHIKODE,6440d353bc3a1cbc36097188
"CHC OLAVANNA",HOSP11CHC010,4952430074,"chcolavanna@gmail.com ",CHC,"kodanatu mukku,Olavanna",KOZHIKODE,6440d353bc3a1cbc36097189
"CHC ORKATERY",HOSP11CHC011,,,CHC,,KOZHIKODE,6440d353bc3a1cbc3609718a
"CHC THALAKULATHUR",HOSP11CHC012,4952853005,chcthalakulathur@gmail.com,CHC,"Thalakulathur.P.O, Kozhikode,Pin : 673317",KOZHIKODE,6440d353bc3a1cbc3609718b
"CHC THIRUVALLUR",HOSP11CHC013,4962962340,chcthiruvallur@gmail.com,CHC,"KANJIRATTUTHARA,THIRUVALLUR.P.O",KOZHIKODE,6440d353bc3a1cbc3609718c
"CHC THIRUVANGOOR",HOSP11CHC014,4962634260,phcthiruvangoor@gmail.com,CHC,"Thiruvangoor PO, Kozhikode - 673304",KOZHIKODE,6440d353bc3a1cbc3609718d
"CHC ULLIYERI",HOSP11CHC015,4962964225,mochculliyeri@gmail.com,CHC,"ULLIYERI PO, KOZHIKODE-673323",KOZHIKODE,6440d353bc3a1cbc3609718e
"CHC VALAYAM",HOSP11CHC016,,,CHC,,KOZHIKODE,6440d353bc3a1cbc3609718f
"MCH UNIT CHERUPPA ",HOSP11CHC017,4952962045,mchunitcheruppa@gmail.com,MCH,"CHERUPPA (PO)- 673661","KOZHIKODE ",6440d353bc3a1cbc36097190
"MCH Kozhikode",HOSP11MCH001,9745636707,promchkozhikode@gmail.com,MCH,"Govt.Medical College","KOZHIKODE ",6440d353bc3a1cbc36097191
"IMCH Kozhikode",HOSP11MCH002,9446340549,superintendentimch@gmail.com,MCH,"INSTITUTE OF MATERNAL & CHILD HEALTH, GOVT. MEDICAL COLLEGE, KOZHIKODE","KOZHIKODE ",6440d353bc3a1cbc36097192
"ICD Kozhikode",HOSP11MCH003,,,MCH,,"KOZHIKODE ",6440d353bc3a1cbc36097193
"PHC ARIKKULAM",HOSP11PHC001,4962696731,phcakl@gmail.com,PHC,"Arikkulam Post, Koyilandy Via, Kozhikode ","KOZHIKODE ",6440d353bc3a1cbc36097194
"PHC ATHOLI",HOSP11PHC002,"0496 2934898",phcentreatholi@gmail.com,PHC,"Velur PO, Atholi, Kozhikode - 673315","KOZHIKODE ",6440d353bc3a1cbc36097195
"PHC AVALA",HOSP11PHC003,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc36097196
"PHC AYANCHERY",HOSP11PHC004,4962966343,phcayancheri@gmail.com,PHC,"kadameri.P.O,Villiappalli Via,673542","KOZHIKODE ",6440d353bc3a1cbc36097197
"PHC AZHIYUR",HOSP11PHC005,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc36097198
